"Country","Political province/region","County","Mining area","Mining site","Add. information on mine","Latitude","Longitude","Location precision","Tectonic/geolog. super unit","Tectonic/geolog. unit","Tectonic/geolog. subunit","Deposit type","Mineralisation style","Metals","Minerals","Sample number","Geol. period","206Pb/204Pb","207Pb/204Pb","208Pb/204Pb","206Pb/207Pb","208Pb/207Pb","204Pb/206Pb","207Pb/206Pb","208Pb/206Pb","Model_Age_SK75","mu_SK75","kappa_SK75","Model_Age_CR75","mu_CR75","kappa_CR75","Model_Age_AJ84","mu_AJ84","kappa_AJ84","Model_Age_ADB12","mu_ADB12","kappa_ADB12","Instrument used","2s_206Pb/204Pb","2s_207Pb/204Pb","2s_208Pb/204Pb","2s_207Pb/206Pb","2s_208Pb/206Pb","Archaeologically Relevant? (Y/N)","Reason_archaeologically_relevant","doi","Reference","Additional references"
"Argentina","Jujuy","unknown","Distrito El Aguilar","El Aguilar","fissure vein",-23.3333333333333,-65.8333333333333,"Exact/neighbouring (coordinates from Puig 1988)","unknown","Formación Saladillo","unknown","SEDEX","unknown","Zn; Pb; Ag","galena","Gemmell_et_al_1992_4","unknown",18.045,15.638,38.025,1.15391993861108,2.43157692799591,0.0554170130229981,0.866611249653644,2.1072319201995,507.206,9.94,3.896,452.7,10.5,3.863,540.195,9.855,3.928,507.948,9.756,3.933,"TIMS","unknown","unknown","unknown",,,"y","Becerra, M. F. 2014. “Para labrar y poblar” Prácticas minero-metalúrgicas en la Puna de Jujuy durante el período colonial (siglos XVII y XVIII). Doctoral Thesis. Facultad de Filosofía y Letras, Universidad de Buenos Aires, Argentina.","10.2113/gsecongeo.87.8.2085","Gemmell, J. B., Zantop, H., and Meinert, L., 1992, Genesis of the Aguilar Zinc-Lead-Silver Deposit, Argentina:Contact Metasomatic vs. Sedimentary Exhalative, Economic Geology, 87, 2085–112.","https://www.mineriajujuy.gob.ar/files_site/cuadro-resumen-de-indicios-y-ocurrencias-minerales-de-la-provincia-de-jujuy.pdf"
"Argentina","Jujuy","unknown","Distrito El Aguilar","El Aguilar","stockwork",-23.3333333333333,-65.8333333333333,"Exact/neighbouring (coordinates from Puig 1988)","unknown","Formación Saladillo","unknown","SEDEX","unknown","Zn; Pb; Ag","galena","Gemmell_et_al_1992_5","unknown",18.054,15.66,38.098,1.15287356321839,2.43282247765006,0.0553893873933754,0.867397806580259,2.11022488091282,542.43,10.039,3.939,446.736,10.504,3.862,572.44,9.943,3.97,526.3,9.799,3.967,"TIMS","unknown","unknown","unknown",,,"y","Becerra, M. F. 2014. “Para labrar y poblar” Prácticas minero-metalúrgicas en la Puna de Jujuy durante el período colonial (siglos XVII y XVIII). Doctoral Thesis. Facultad de Filosofía y Letras, Universidad de Buenos Aires, Argentina.","10.2113/gsecongeo.87.8.2085","Gemmell, J. B., Zantop, H., and Meinert, L., 1992, Genesis of the Aguilar Zinc-Lead-Silver Deposit, Argentina:Contact Metasomatic vs. Sedimentary Exhalative, Economic Geology, 87, 2085–112.","https://www.mineriajujuy.gob.ar/files_site/cuadro-resumen-de-indicios-y-ocurrencias-minerales-de-la-provincia-de-jujuy.pdf"
"Argentina","Jujuy","unknown","Distrito El Aguilar","El Aguilar","disseminated",-23.3333333333333,-65.8333333333333,"Exact/neighbouring (coordinates from Puig 1988)","unknown","Formación Saladillo","unknown","SEDEX","unknown","Zn; Pb; Ag","galena","Gemmell_et_al_1992_6","unknown",18.061,15.665,38.109,1.15295244174912,2.43274816469837,0.0553679198272521,0.867338464093904,2.11001605669675,546.753,10.06,3.942,442.559,10.506,3.862,576.118,9.962,3.973,527.054,9.808,3.969,"TIMS","unknown","unknown","unknown",,,"y","Becerra, M. F. 2014. “Para labrar y poblar” Prácticas minero-metalúrgicas en la Puna de Jujuy durante el período colonial (siglos XVII y XVIII). Doctoral Thesis. Facultad de Filosofía y Letras, Universidad de Buenos Aires, Argentina.","10.2113/gsecongeo.87.8.2085","Gemmell, J. B., Zantop, H., and Meinert, L., 1992, Genesis of the Aguilar Zinc-Lead-Silver Deposit, Argentina:Contact Metasomatic vs. Sedimentary Exhalative, Economic Geology, 87, 2085–112.","https://www.mineriajujuy.gob.ar/files_site/cuadro-resumen-de-indicios-y-ocurrencias-minerales-de-la-provincia-de-jujuy.pdf"
"Argentina","Jujuy","unknown","Distrito El Aguilar","El Aguilar","Breccia-sulfide matrix",-23.3333333333333,-65.8333333333333,"Exact/neighbouring (coordinates from Puig 1988)","unknown","Formación Saladillo","unknown","SEDEX","unknown","Zn; Pb; Ag","galena","Gemmell_et_al_1992_7","unknown",18.014,15.615,37.941,1.15363432596862,2.4297790585975,0.0555123792605751,0.86682580215388,2.10619518152548,485.683,9.845,3.861,471.229,10.49,3.864,521.794,9.769,3.894,503.533,9.714,3.907,"TIMS","unknown","unknown","unknown",,,"y","Becerra, M. F. 2014. “Para labrar y poblar” Prácticas minero-metalúrgicas en la Puna de Jujuy durante el período colonial (siglos XVII y XVIII). Doctoral Thesis. Facultad de Filosofía y Letras, Universidad de Buenos Aires, Argentina.","10.2113/gsecongeo.87.8.2085","Gemmell, J. B., Zantop, H., and Meinert, L., 1992, Genesis of the Aguilar Zinc-Lead-Silver Deposit, Argentina:Contact Metasomatic vs. Sedimentary Exhalative, Economic Geology, 87, 2085–112.","https://www.mineriajujuy.gob.ar/files_site/cuadro-resumen-de-indicios-y-ocurrencias-minerales-de-la-provincia-de-jujuy.pdf"
"Argentina","Jujuy","unknown","Distrito El Aguilar","El Aguilar","Breccia-calc-silicate matrix",-23.3333333333333,-65.8333333333333,"Exact/neighbouring (coordinates from Puig 1988)","unknown","Formación Saladillo","unknown","SEDEX","unknown","Zn; Pb; Ag","galena","Gemmell_et_al_1992_8","unknown",18.016,15.617,37.951,1.15361465070116,2.43010821540629,0.05550621669627,0.866840586145648,2.10651642984014,488.086,9.853,3.866,470.014,10.491,3.864,523.919,9.777,3.899,504.4,9.718,3.911,"TIMS","unknown","unknown","unknown",,,"y","Becerra, M. F. 2014. “Para labrar y poblar” Prácticas minero-metalúrgicas en la Puna de Jujuy durante el período colonial (siglos XVII y XVIII). Doctoral Thesis. Facultad de Filosofía y Letras, Universidad de Buenos Aires, Argentina.","10.2113/gsecongeo.87.8.2085","Gemmell, J. B., Zantop, H., and Meinert, L., 1992, Genesis of the Aguilar Zinc-Lead-Silver Deposit, Argentina:Contact Metasomatic vs. Sedimentary Exhalative, Economic Geology, 87, 2085–112.","https://www.mineriajujuy.gob.ar/files_site/cuadro-resumen-de-indicios-y-ocurrencias-minerales-de-la-provincia-de-jujuy.pdf"
"Argentina","Jujuy","unknown","Distrito El Aguilar","El Aguilar","banded pyrite-sphalerite",-23.3333333333333,-65.8333333333333,"Exact/neighbouring (coordinates from Puig 1988)","unknown","Formación Saladillo","unknown","SEDEX","unknown","Zn; Pb; Ag","galena","Gemmell_et_al_1992_9","unknown",18.02,15.62,37.951,1.15364916773367,2.42964148527529,0.0554938956714761,0.866814650388457,2.10604883462819,490.943,9.866,3.864,467.622,10.492,3.863,526.365,9.788,3.897,505.007,9.723,3.909,"TIMS","unknown","unknown","unknown",,,"y","Becerra, M. F. 2014. “Para labrar y poblar” Prácticas minero-metalúrgicas en la Puna de Jujuy durante el período colonial (siglos XVII y XVIII). Doctoral Thesis. Facultad de Filosofía y Letras, Universidad de Buenos Aires, Argentina.","10.2113/gsecongeo.87.8.2085","Gemmell, J. B., Zantop, H., and Meinert, L., 1992, Genesis of the Aguilar Zinc-Lead-Silver Deposit, Argentina:Contact Metasomatic vs. Sedimentary Exhalative, Economic Geology, 87, 2085–112.","https://www.mineriajujuy.gob.ar/files_site/cuadro-resumen-de-indicios-y-ocurrencias-minerales-de-la-provincia-de-jujuy.pdf"
"Argentina","Jujuy","unknown","Distrito El Aguilar","El Aguilar",,-23.1666666666667,-65.8333333333333,"Exact (coordinates from publication)","unknown","Formación Saladillo","unknown","SEDEX","unknown","Pb; Zn; Ag","galena","PMH-100","Ordovician",18.017,15.639,38.061,1.1520557580408,2.43372338384807,0.0555031359271799,0.868013542765166,2.11250485652439,529.65,9.954,3.936,468.594,10.492,3.863,562.382,9.867,3.968,528.348,9.762,3.966,"TIMS","unknown","unknown","unknown",,,"y","Becerra, M. F. 2014. “Para labrar y poblar” Prácticas minero-metalúrgicas en la Puna de Jujuy durante el período colonial (siglos XVII y XVIII). Doctoral Thesis. Facultad de Filosofía y Letras, Universidad de Buenos Aires, Argentina.","10.2113/gsecongeo.85.8.1857","Macfarlane, A. W., Marcet, P., LeHuray, A. P., and Petersen, U., 1990, Lead isotope provinces of the Central Andes inferred from ores and crustal rocks, Economic Geology, 85(8), 1857–80.","https://www.mineriajujuy.gob.ar/files_site/cuadro-resumen-de-indicios-y-ocurrencias-minerales-de-la-provincia-de-jujuy.pdf"
"Argentina","Jujuy","unknown","Distrito El Aguilar","El Aguilar",,-23.1911111,-65.7019444,"Exact (coordinates from publication)","unknown","Formación Saladillo","unknown","SEDEX","Stratiform","Pb; Zn; Ag","galena","ZAG-1","Ordovician",18.053,15.647,38.087,1.15376749536652,2.43414072985237,0.0553924555475544,0.866725751952584,2.10973245443971,518.539,9.979,3.929,447.8,10.503,3.862,550.314,9.89,3.96,512.507,9.773,3.96,"TIMS","unknown","unknown","unknown",,,"y","Becerra, M. F. 2014. “Para labrar y poblar” Prácticas minero-metalúrgicas en la Puna de Jujuy durante el período colonial (siglos XVII y XVIII). Doctoral Thesis. Facultad de Filosofía y Letras, Universidad de Buenos Aires, Argentina.",,"Zentelli, M., Doe, B., Hedge, C., Alvarez, O., Tidy, E., and Daroca, J., 1988, Isotopos de plomo en yacimientos de tipo pòrfido cuprífero comparados con otros depósitos metalíferos en los Andes del norte de Chile y Argentina, V Congreso Geológico Chileno, Departamento de Geología y Geofísica, Universidad de Chile, 1, B331–69.","https://www.mineriajujuy.gob.ar/files_site/cuadro-resumen-de-indicios-y-ocurrencias-minerales-de-la-provincia-de-jujuy.pdf"
"Argentina","Salta","unknown","Esperanza","Esperanza",,-24.255,-66.4875,"Exact (coordinates from publication)","unknown","unknown","unknown","unknown","unknown","Pb","galena","DGFM67131","unknown",18.747,15.663,38.89,1.19689714614059,2.4829215348273,0.0533418680322185,0.835493678988638,2.07446524777298,37.116,9.87,3.899,42.832,10.72,3.842,68.794,9.787,3.929,43.915,9.724,3.934,"TIMS","unknown","unknown","unknown",,,"n","unknown",,"Zentelli, M., Doe, B., Hedge, C., Alvarez, O., Tidy, E., and Daroca, J., 1988, Isotopos de plomo en yacimientos de tipo pòrfido cuprífero comparados con otros depósitos metalíferos en los Andes del norte de Chile y Argentina, V Congreso Geológico Chileno, Departamento de Geología y Geofísica, Universidad de Chile, 1, B331–69.","unknown"
"Argentina","Jujuy","unknown","Distrito El Aguilar","Esperanza","disseminated",-23.3333333333333,-65.8333333333333,"Exact/neighbouring (coordinates from Puig 1988)","unknown","Formación Saladillo","unknown","SEDEX","strata bound; stratiform","Zn; Pb; Ag","galena","Gemmell_et_al_1992_20","unknown",18.079,15.674,38.091,1.15343881587342,2.43020288375654,0.0553127938492173,0.866972730792632,2.10691963051054,550.593,10.096,3.922,431.959,10.511,3.862,578.823,9.994,3.953,524.716,9.824,3.952,"TIMS","unknown","unknown","unknown",,,"y","Becerra, M. F. 2014. “Para labrar y poblar” Prácticas minero-metalúrgicas en la Puna de Jujuy durante el período colonial (siglos XVII y XVIII). Doctoral Thesis. Facultad de Filosofía y Letras, Universidad de Buenos Aires, Argentina.","10.2113/gsecongeo.87.8.2085","Gemmell, J. B., Zantop, H., and Meinert, L., 1992, Genesis of the Aguilar Zinc-Lead-Silver Deposit, Argentina:Contact Metasomatic vs. Sedimentary Exhalative, Economic Geology, 87, 2085–112.","https://www.mineriajujuy.gob.ar/files_site/cuadro-resumen-de-indicios-y-ocurrencias-minerales-de-la-provincia-de-jujuy.pdf"
